Ref	x	y	Connectivity	Point First Moment	Point Second Moment
852006	1.16	6.32	235	100.86439	61.4944
852007	1.16	6.36	243	113.20556	73.472
852008	1.16	6.4	243	119.58923	80.463997
852009	1.16	6.44	230	124.9934	88.265602
852010	1.16	6.48	202	120.33929	91.358398
852011	1.16	6.52	186	112.75641	89.536003
852012	1.16	6.56	205	121.87601	97.833603
852013	1.16	6.6	147	104.7407	93.800003
852017	1.16	6.76	57	24.833809	15.8864
852018	1.16	6.8	44	9.9302855	3.1168001
852026	1.16	7.12	163	64.784515	34.340801
852027	1.16	7.16	144	52.896118	27.5376
852040	1.16	7.68	161	54.438843	23.993601
917512	1.2	5.12	246	137.57756	120.8672
917513	1.2	5.16	266	145.94574	125.0512
917514	1.2	5.2	291	163.59375	141.66879
917515	1.2	5.24	292	157.85568	132.1456
917516	1.2	5.28	281	139.88554	109.5632
917517	1.2	5.32	288	139.58795	104.5824
917518	1.2	5.36	294	140.4044	101.4096
917519	1.2	5.4	306	143.38818	98.267197
917520	1.2	5.44	326	151.76048	99.255997
917521	1.2	5.48	343	154.67224	95.127998
917522	1.2	5.52	324	146.0336	87.472
917523	1.2	5.56	283	126.25783	74.622398
917524	1.2	5.6	266	114.69285	65.886398
917525	1.2	5.64	256	105.75358	58.568001
917526	1.2	5.68	251	98.867958	52.4944
917527	1.2	5.72	246	92.229454	46.787201
917528	1.2	5.76	246	88.418091	42.8592
917529	1.2	5.8	244	84.38665	39.264
917530	1.2	5.84	244	81.63163	36.543999
917531	1.2	5.88	249	81.821136	35.728001
917532	1.2	5.92	267	90.160553	40.088001
917533	1.2	5.96	431	446.59192	965.71362
917534	1.2	6	448	484.36115	1074.9744
917535	1.2	6.04	253	84.029564	37.750401
917536	1.2	6.08	243	80.949265	37.364799
917537	1.2	6.12	239	81.516022	39.057598
917538	1.2	6.16	237	84.236641	42.568001
917539	1.2	6.2	236	87.061523	45.857601
917540	1.2	6.24	236	91.572906	50.911999
917541	1.2	6.28	235	95.593376	55.372799
917542	1.2	6.32	235	101.39097	61.849602
917543	1.2	6.36	235	107.81452	69.081596
917544	1.2	6.4	236	115.03149	77.115196
917545	1.2	6.44	224	120.73614	85.5616
917546	1.2	6.48	204	122.0304	92.711998
917547	1.2	6.52	206	128.2571	101.7552
917548	1.2	6.56	209	127.82599	104.0576
917549	1.2	6.6	225	138.94206	115.36
917550	1.2	6.64	296	281.39178	393.31039
917551	1.2	6.68	408	566.22046	1167.9471
917552	1.2	6.72	284	336.39551	594.68323
917553	1.2	6.76	150	103.21446	103.5504
917554	1.2	6.8	104	81.547478	91.2304
917560	1.2	7.04	123	48.489231	23.683201
917561	1.2	7.08	136	51.483582	24.532801
917562	1.2	7.12	211	81.96315	41.385601
917563	1.2	7.16	214	79.477837	38.636799
917564	1.2	7.2	145	46.551247	19.3232
917565	1.2	7.24	133	37.725071	13.4416
917566	1.2	7.28	125	32.879261	10.5744
917567	1.2	7.32	127	33.38826	10.8032
917568	1.2	7.36	126	33.146534	10.9888
917569	1.2	7.4	129	34.862225	12.0784
917570	1.2	7.44	130	36.19965	13.2736
917571	1.2	7.48	133	39.013191	15.4656
917572	1.2	7.52	133	40.155506	16.511999
917573	1.2	7.56	139	45.493504	20.4928
917574	1.2	7.6	153	56.11797	28.1824
917575	1.2	7.64	196	75.505066	38.720001
917576	1.2	7.68	223	89.657806	47.004799
917577	1.2	7.72	166	71.787148	41.1152
917578	1.2	7.76	143	65.271507	38.875198
983048	1.24	5.12	226	111.19139	83.587196
