Ref	x1	y1	x2	y2	Connectivity	Line Length
426	534530.958921	184092.594917	534574.546569	184080.175007	2	45.32259
427	534520.73354	184104.289671	534537.960852	184087.485916	2	24.065462
428	534522.002078	184096.397688	534527.354661	184168.044127	2	71.8461
429	534268.71504	183678.612162	534312.689759	184027.117468	5	351.26874
430	534178.09244	183721.02987	534286.616931	183992.760989	4	292.60104
431	534154.143024	183979.798213	534160.00494	184014.835788	1	35.524551
432	534283.055419	183845.462203	534373.38459	183821.957288	3	93.337242
433	534338.56135	183826.740385	534417.437595	183853.779619	4	83.382149
434	534338.660061	183839.865219	534399.443055	183787.619882	4	80.15078
435	534353.39508	183626.897766	534397.018576	183800.008983	3	178.52312
436	534316.524037	184240.583205	534323.048179	184194.026299	2	47.011806
437	534259.30742	184197.099766	534324.554163	184195.186633	1	65.274788
438	534221.349777	184137.655347	534236.167736	184240.918947	3	104.32134
439	534075.999349	184178.716694	534364.876021	184103.158771	5	298.5946
440	534445.588895	184090.729314	534445.666539	184159.57376	2	68.84449
441	534413.76248	184091.742822	534473.866644	184091.495124	3	60.104675
442	534418.042635	184027.144569	534419.130132	184098.469833	2	71.333557
443	534415.259165	184029.608637	534471.374163	184027.966459	3	56.139023
444	534468.511671	184021.499835	534468.83228	184098.998125	2	77.498955
445	534352.419821	184432.477914	534615.442074	184461.340417	3	264.6011
446	532822.628275	183060.558178	533532.762428	183279.520388	8	743.12512
447	533311.003242	183772.13925	533342.10287	183213.502392	5	559.50183
448	533194.789303	183321.685907	533339.629599	183351.33356	4	147.84348
449	533234.487353	184185.811657	533278.689124	183198.40131	9	988.39923
450	533150.504528	183347.569737	533227.318113	183318.920628	3	81.982307
451	533192.683163	183247.117175	533222.262704	183329.836454	3	87.848892
452	533016.016412	183203.098735	533206.54312	183260.141057	3	198.88251
453	533031.59668	183528.720721	533218.370549	183138.112551	7	432.96561
454	532993.447981	183254.429505	533154.766037	183348.324784	3	186.65433
455	532993.717598	183255.233189	533020.727019	183200.304946	3	61.209644
456	532740.225415	183101.456559	533004.563505	183237.365869	5	297.2305
457	532757.924444	183233.346962	532802.663245	183129.442	2	113.12737
458	532685.720654	183195.618751	533412.442248	183553.057914	11	809.86853
459	533024.538111	183916.941189	533130.680604	183490.775096	4	439.18533
460	533013.314477	183449.208665	533194.753878	183517.68685	2	193.93173
461	533108.115245	183562.022779	533168.092312	183585.226165	3	64.308983
462	533152.99534	183590.14543	533205.984455	183546.220389	2	68.827721
463	533089.575533	183968.681125	533162.657458	183572.125795	4	403.23331
464	532922.524395	183650.858063	533327.125673	183697.863386	8	407.3226
465	532885.693914	183873.580068	532927.211036	183638.394822	7	238.82162
466	532779.479562	183518.056912	532935.205668	183654.64484	7	207.13977
467	532821.550289	183562.586222	532860.869029	183486.788093	1	85.389229
468	532883.827305	183871.101644	533293.632281	183952.760517	9	417.86157
469	532953.496908	183900.631433	533047.8399	183487.189023	6	424.06982
